REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Service detail,Seasonal adjustment,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,TERMINATED,DECIMALS
2020-02,British Columbia,2016A000259,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170661,11.1.1.1,992749,,,0
2020-02,British Columbia,2016A000259,"Total, food services and drinking places",Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170715,11.1.1.2,1087715,,,0
2020-02,British Columbia,2016A000259,Special food services [7223],Receipts,Unadjusted,Dollars,81,thousands,3,v42170667,11.4.1.1,78917,,,0
2020-02,British Columbia,2016A000259,Drinking places (alcoholic beverages) [7224],Receipts,Unadjusted,Dollars,81,thousands,3,v42170669,11.5.1.1,57846,,,0
2020-02,British Columbia,2016A000259,Full-service restaurants [722511],Receipts,Unadjusted,Dollars,81,thousands,3,v42170663,11.2.1.1,492090,,,0
2020-02,British Columbia,2016A000259,Limited-service eating places [722512],Receipts,Unadjusted,Dollars,81,thousands,3,v42170665,11.3.1.1,363896,,,0
2020-02,Yukon,2016A000260,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170671,12.1.1.1,6127,,,0
2020-02,Yukon,2016A000260,"Total, food services and drinking places",Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170716,12.1.1.2,7247,,,0
2020-02,Yukon,2016A000260,Special food services [7223],Receipts,Unadjusted,Dollars,81,thousands,3,v42170677,12.4.1.1,,x,,0
2020-02,Yukon,2016A000260,Drinking places (alcoholic beverages) [7224],Receipts,Unadjusted,Dollars,81,thousands,3,v42170679,12.5.1.1,,x,,0
2020-02,Yukon,2016A000260,Full-service restaurants [722511],Receipts,Unadjusted,Dollars,81,thousands,3,v42170673,12.2.1.1,,x,,0
2020-02,Yukon,2016A000260,Limited-service eating places [722512],Receipts,Unadjusted,Dollars,81,thousands,3,v42170675,12.3.1.1,,x,,0
2020-02,Northwest Territories,2016A000261,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170681,13.1.1.1,5859,,,0
